id,name,type
1292288,Citizen Kane, 剧情 悬疑
1297294,Vertigo, 爱情 悬疑 惊悚
1292226,2001: A Space Odyssey, 科幻 惊悚 冒险
1291568,Tokyo Story, 剧情 家庭
1291841,The Godfather, 剧情 犯罪
1361276,Eight and a Half, 剧情 奇幻
1401261,La r, 剧情 喜剧
1295753,Sunrise: A Song of Two Humans, 剧情 爱情
1292668,The Searchers, 剧情 西部 冒险
1295399,The Seven Samurai, 剧情 动作 冒险
1292260,Apocalypse Now, 剧情 战争
1293460,Singin' in the Rain, 喜剧 爱情 歌舞
1295873,Ladri di biciclette, 剧情 犯罪
1293492,Battleship Potemkin, 剧情 历史 战争
1292222,Taxi Driver, 剧情 犯罪
1353745,bout de souffle, 剧情 爱情 犯罪
1293783,La passion de Jeanne d'Arc, 剧情 传记 历史 犯罪
1299433,L'Atalante, 剧情 爱情
1294438,Persona, 剧情
1291879,Rashomon, 剧情 悬疑 犯罪
1293199,Man with a Movie Camera, 纪录片
1299131,2 The Godfather: Part, 剧情 犯罪
1300056,Les quatre cents coups, 剧情 犯罪
1293155,Raging Bull, 剧情 传记 运动
1293181,Psycho, 悬疑 惊悚 恐怖
1293908,City Lights, 剧情 喜剧 爱情
1298248,Andrey Rublyov, 剧情 传记 历史 战争
1292574,Some Like It Hot, 喜剧
1293271,La Dolce Vita, 剧情 喜剧
1299248,Zerkalo, 剧情 传记 历史 战争
1294756,Touch of Evil, 惊悚 犯罪 黑色电影
1401619,Au hasard Balthazar, 剧情 犯罪
1303566,Ordet, 剧情
1298733,Sunset Blvd., 剧情 黑色电影
1296753,Casablanca, 剧情 爱情 战争
1292349,Lawrence of Arabia, 剧情 传记 冒险
1389923,L'avventura, 剧情 悬疑
1291839,Blade Runner, 科幻 惊悚
1303555,Le m, 剧情 爱情
1292778,The General, 剧情 喜剧 动作 战争 冒险
1299080,Rear Window, 悬疑 惊悚
1294808,La Grande Illusion, 剧情 战争
1293582,The Night of the Hunter, 惊悚 犯罪 黑色电影
1291557,In the Mood for Love, 剧情 爱情
1294371,Modern Times, 剧情 喜剧 爱情
1303543,Play Time, 喜剧
1303577,Ugetsu Monogatari, 剧情 战争 奇幻
1322848,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 剧情 喜剧
1295451,The Third Man, 悬疑 惊悚 黑色电影
1293889,Chinatown, 剧情 悬疑 惊悚 犯罪
1292784,Fanny och Alexander, 剧情
1295656,Stalker, 剧情 科幻 悬疑
1292472,Barry Lyndon, 剧情 爱情 战争
1394218,The Apartment, 剧情 喜剧 爱情
1306019,Pather Panchali, 剧情
1293381,M, 剧情 惊悚 犯罪 黑色电影
1298497,Rio Bravo, 剧情 喜剧 爱情 西部
1293071,Smultronst, 剧情 爱情 家庭
1298107,Metropolis, 剧情 科幻
1292217,Mulholland Dr., 剧情 悬疑 惊悚
1295872,North by Northwest, 动作 悬疑 犯罪
1300375,Les enfants du paradis, 剧情 爱情
1292533,Pierrot le fou, 剧情 喜剧 爱情 歌舞 犯罪
1303557,Viridiana, 剧情
1293394,C'era una volta il West, 剧情 犯罪 西部
1296963,The Wild Bunch, 动作 西部
1292719,La strada, 剧情
1419005,La battaglia di Algeri, 剧情 历史 战争
1303328,Shoah, 纪录片 历史 战争
1298672,Amarcord, 剧情 喜剧
1298817,The Gold Rush, 喜剧 爱情 西部 冒险
1293234,Det sjunde inseglet, 剧情 奇幻
1303576,Viaggio in Italia, 剧情
1293146,Il gattopardo, 剧情 爱情 历史 战争
1307265,Banshun, 剧情 家庭
1291832,Pulp Fiction, 剧情 喜剧 犯罪
1292268,Goodfellas, 剧情 传记 犯罪
1299214,The Magnificent Ambersons, 剧情 爱情
1292233,A Clockwork Orange, 剧情 科幻 犯罪
1293749,It's a Wonderful Life, 剧情 爱情 奇幻
1303559,Pickpocket, 剧情 犯罪
1300955,Il conformista, 剧情
1292338,Jules et Jim, 剧情 爱情
1293037,Nashville, 剧情 音乐
1303521,Close-Up, 剧情 犯罪
1420116,Gertrud, 剧情
1303562,Un Condamn, 剧情 惊悚 战争
1296987,Annie Hall, 剧情 喜剧 爱情
1295134,The Man Who Shot Liberty Valance, 剧情 爱情 西部
1294941,Jaws, 剧情 惊悚 冒险
1303573,Sansho the Bailiff, 剧情
1301923,Greed, 剧情
1400240,L'ann, 剧情 爱情 悬疑
1868933,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles", 剧情
1292225,The Shining, 剧情 悬疑 恐怖
1293525,A Woman Under the Influence, 剧情 爱情
1306002,"Aguirre, der Zorn Gottes", 剧情 传记 历史 冒险
1310176,Blow-Up, 剧情 悬疑 惊悚
1401901,Sans soleil, 纪录片
1292262,Once Upon a Time in America, 剧情 犯罪
1303418,To Be or Not to Be, 喜剧 战争
1422088,S, 剧情 悬疑
1295287,Intolerance: Love's Struggle Throughout the Ages, 剧情 爱情 历史
1292625,The Wizard of Oz, 歌舞 奇幻 冒险
1293105,L'eclisse, 剧情 爱情
1302050,Hiroshima mon amour, 剧情 爱情 战争
1295252,La maman et la putain, 剧情
1300267,Gone with the Wind, 剧情 爱情 历史 战争
1306626,La jet, 剧情 爱情 科幻 短片
1294300,Manhattan, 剧情 喜剧 爱情
1293847,To Live, 剧情
1401900,El esp, 剧情
1292224,One Flew Over the Cuckoo's Nest, 剧情
1293838,Star Wars, 动作 科幻 冒险
1401385,All About Eve, 剧情
1301122,Madame de..., 剧情 爱情
1303408,Sherlock Jr., 喜剧 奇幻
1294638,E.T., 剧情 科幻
1297657,Bringing Up Baby, 喜剧 爱情
1299733,My Darling Clementine, 剧情 西部
1297228,Letter from an Unknown Woman, 剧情 爱情 音乐
1292329,A Brighter Summer Day, 剧情 犯罪
1296669,"Roma, citt", 剧情 战争
1401585,Partie de campagne, 剧情 爱情 短片
1293667,L', 喜剧
1292434,Yi yi, 剧情 爱情 家庭
1303579,Los Olvidados, 剧情 犯罪
1300868,Alien, 科幻 恐怖
1302294,Don't Look Now, 剧情 悬疑 恐怖
1296757,Vivre sa vie: Film en douze tableaux, 剧情
1297422,Badlands, 剧情 爱情 惊悚 犯罪
1296791,"Nosferatu, eine Symphonie des Grauens", 恐怖 奇幻
1300766,Notorious, 剧情 爱情 惊悚
1294092,Angst essen Seele auf, 剧情 爱情
1297546,Professione: reporter, 剧情 惊悚
1293958,Do the Right Thing, 喜剧
1298134,Stagecoach, 剧情 动作 爱情 西部
1298962,Un chien andalou, 短片 奇幻
1293852,Rosemary's Baby, 剧情 悬疑 恐怖
1422186,Come And See, 剧情 战争
1299411,A Matter of Life and Death, 剧情 爱情 战争 奇幻
1303415,The Lady Eve, 喜剧 爱情 犯罪
1296908,The Conversation, 剧情 悬疑 惊悚
1299775,Il vangelo secondo Matteo, 剧情 传记 历史
1303556,El, 剧情 喜剧 悬疑 奇幻
1298113,Duck Soup, 喜剧 歌舞
1299231,His Girl Friday, 剧情 喜剧 爱情
1293232,Days of Heaven, 剧情 爱情
1293226,Double Indemnity, 惊悚 犯罪 黑色电影
1294364,Brief Encounter, 剧情 爱情
1294746,Trouble in Paradise, 喜剧 爱情 犯罪
1292521,On the Waterfront, 剧情 爱情 犯罪
1306791,Beau travail, 剧情 同性
1439723,-1A, 纪录片
1296147,Viskningar och rop, 剧情 爱情
1323746,Spring in a Small Town, 剧情 爱情
1401118,"Il buono, il brutto, il cattivo.", 西部 冒险
1422308,Campanadas a medianoche, 剧情 喜剧 战争
1303364,Le charme discret de la bourgeoisie, 剧情 喜剧 奇幻
1298593,King Kong, 动作 奇幻 冒险
1292403,The Deer Hunter, 剧情 战争
1303536,L'argent, 剧情 犯罪
1299204,The Red Shoes, 剧情 爱情 音乐
1416677,The River, 剧情 爱情
1292733,Black Narcissus, 剧情
1474748,Earth, 剧情
1302413,Mouchette, 剧情
1295646,The Great Dictator, 剧情 喜剧 战争
1303558,Rocco e i suoi fratelli, 剧情 犯罪
1294625,Imitation of Life, 剧情 爱情
1401756,Napol, 剧情 传记 历史 战争
1301646,Les parapluies de Cherbourg, 剧情 爱情 歌舞
1292465,The Grapes of Wrath, 剧情
1301252,Dekalog, 剧情
1310175,The Birds, 悬疑 惊悚 灾难
1307639,Der letzte Mann, 剧情
1945780,There Will Be Blood, 剧情
1295759,The Travelling Players, 剧情 历史 战争
1299816,The Life and Death of Colonel Blimp, 剧情 爱情 战争
1300912,Morte a Venezia, 剧情 同性
1293823,Brazil, 剧情 科幻
1296097,Umberto D., 剧情
1301649,Belle de jour, 剧情 情色
1302338,Out of the Past, 剧情 惊悚 黑色电影
1294781,Le notti di Cabiria, 剧情 爱情
1291561,Spirited Away, 剧情 动画 奇幻
1295757,The Quiet Man, 剧情 喜剧 爱情
1300977,Solaris, 剧情 科幻 悬疑
1294194,A City of Sadness, 剧情
1418141,C, 剧情 喜剧 悬疑 奇幻
1298270,Nuit et brouillard, 纪录片 短片 历史 战争
1299257,Pais, 剧情 战争
1292468,Breaking the Waves, 剧情 爱情
1297920,Kes, 剧情
1292565,Red River, 动作 西部 冒险
1292067,Fargo, 剧情 惊悚 犯罪
1300392,The Texas Chain Saw Massacre, 悬疑 恐怖
1293818,The Piano, 剧情 爱情 音乐
1302808,Sweet Smell of Success, 剧情 黑色电影
1296196,Revolt, 剧情 动作 战争
1298405,Close Encounters of the Third Kind, 剧情 科幻
1294331,Performance, 剧情 音乐 犯罪 奇幻
1303174,Popi, 剧情 战争
1294100,The Best Years of Our Lives, 剧情 爱情 战争
1418426,Deus E o Diabo na Terra do Sol, 剧情 犯罪 西部 冒险
1292271,The Graduate, 剧情 喜剧 爱情
1292547,Das Cabinet des Dr. Caligari, 悬疑 恐怖 犯罪
1296621,Wavelength, 剧情 短片
1300966,Le samoura, 剧情 悬疑 惊悚 犯罪
1292781,The Thin Red Line, 剧情 战争
1300964,2 ou 3 choses que je sais d'elle, 剧情 喜剧
1291999,Chungking Express, 剧情 爱情
1292504,Der Himmel, 剧情 爱情 奇幻
1438066,Cach, 剧情 悬疑 惊悚
1474367,"Ivan the Terrible, Part Two", 传记 历史
1292735,Nanook of the North, 纪录片
1300044,The Big Lebowski, 喜剧 犯罪
1296717,Raiders of the Lost Ark, 动作 冒险
1293755,The Exorcist, 恐怖
1295124,Schindler's List, 剧情 历史 战争
1308777,Eternal Sunshine of the Spotless Mind, 剧情 爱情 奇幻
1300712,Only Angels Have Wings, 剧情 爱情 冒险
1293950,McCabe & Mrs. Miller, 剧情 西部
1293153,Germania anno zero, 剧情 战争
1295995,Kind Hearts and Coronets, 喜剧 犯罪
1303416,Sullivan's Travels, 剧情 喜剧 爱情 冒险
1300749,Vampyr - Der Traum des Allan Grey, 恐怖 奇幻
1401618,Journal d'un cur, 剧情 悬疑
1302061,"Paris, Texas", 剧情
1295445,Meet Me in St. Louis, 爱情 歌舞 家庭
1303542,Sayat Nova, 剧情 音乐 传记
1293273,The Crowd, 剧情 爱情
1292516,The Treasure of the Sierra Madre, 剧情 动作 西部 冒险
1293566,Unforgiven, 剧情 西部
1361252,La Notte, 剧情 爱情
1294518,Z, 剧情 喜剧 短片
2336735,The Tree of Life, 剧情 家庭 奇幻
1300613,Groundhog Day, 剧情 喜剧 爱情 奇幻
1440610,V, 纪录片
1294584,Bonnie and Clyde, 动作 传记 犯罪
1292969,Paths of Glory, 剧情 战争
1296577,Tabu: A Story of the South Seas, 剧情 爱情 冒险
1484154,Memorias del subdesarrollo, 剧情
1850003,The Band Wagon, 喜剧 爱情 歌舞 家庭
1303603,Saikaku ichidai onna, 剧情
1485059,El Verdugo, 剧情 喜剧
1291560,Tonari no Totoro, 动画 奇幻 冒险
1303575,Johnny Guitar, 西部
1293564,Magnolia, 剧情
1414808,Tropical Malady, 剧情 爱情 同性 奇幻
1298870,Ukigumo, 剧情 爱情
1293329,The Story of the Last Chrysanthemums, 剧情
1437390,Meshes of the Afternoon, 短片
1293511,Mean Streets, 剧情 犯罪
1299166,The Shop Around the Corner, 剧情 喜剧 爱情
1295942,Freaks, 剧情 恐怖
1298182,"Ivan the Terrible, Part One", 传记 历史
1302923,In a Lonely Place, 剧情 爱情 悬疑 惊悚 黑色电影
1292047,Trois couleurs: Rouge, 剧情 爱情 悬疑
1298420,Broken Blossoms or The Yellow Man and the Girl, 剧情 爱情
1297996,Night of the Living Dead, 悬疑 恐怖
1296388,The Thin Blue Line, 纪录片
1294827,Throne of Blood, 剧情 惊悚 战争 奇幻
1292644,Faces, 剧情
1296283,Ma nuit chez Maud, 剧情 爱情
1297874,The Maltese Falcon, 悬疑 犯罪 黑色电影
1292048,Trois couleurs: Bleu, 剧情 爱情 音乐
1299932,Le salaire de la peur, 剧情 惊悚 冒险
1303532,Love Streams, 剧情 喜剧
1294047,Monsieur Verdoux, 剧情 喜剧 犯罪
1305878,"Distant Voices, Still Lives", 剧情
1296528,Star Wars: Episode V - The Empire Strikes Back, 动作 科幻 冒险
1295913,La belle et la b, 剧情 爱情 奇幻
1292536,Crimes and Misdemeanors, 剧情 喜剧
1296338,Week End, 剧情 喜剧
1293925,Eraserhead, 恐怖 奇幻
1401368,Die B, 剧情 爱情 犯罪
1303095,Husbands, 剧情
1291828,Nuovo Cinema Paradiso, 剧情 爱情
1437023,Im Lauf der Zeit, 剧情
1305896,Vredens dag, 剧情 爱情 恐怖
1791033,Terra em Transe, 剧情
1305790,Les vacances de Monsieur Hulot, 喜剧
1296794,The Thing, 科幻 悬疑 恐怖
1300306,The Birth of a Nation, 剧情 爱情 历史 战争 西部
1292206,Underground, 剧情 战争
1301897,, 剧情
1291843,The Matrix, 动作 科幻
1294433,An Autumn Afternoon, 剧情 家庭
1295276,Videodrome, 科幻 悬疑 惊悚 恐怖
1296282,Cabaret, 剧情 爱情 歌舞
1424576,Touki Bouki, 剧情
1440613,Jalsaghar, 剧情 音乐
1293352,The Big Sleep, 悬疑 惊悚 犯罪 黑色电影
1294531,Offret, 剧情
1293270,The Kid, 剧情 喜剧 家庭
1303494,Killer of Sheep, 剧情
1302941,Puppetmaster, 剧情 传记 战争
1295720,Apur Sansar, 剧情
1300555,Back to the Future, 喜剧 科幻 冒险
1293095,This Is Spinal Tap, 喜剧 音乐
1292840,The Philadelphia Story, 喜剧 爱情
1295943,A Canterbury Tale, 剧情 喜剧 悬疑 战争
1291937,Todo sobre mi madre, 剧情
1292812,Harold and Maude, 剧情 喜剧
1300572,The Time to Live and the Time to Die, 剧情 家庭 传记
1292208,Cidade de Deus, 剧情 犯罪
1299665,Peeping Tom, 剧情 惊悚 犯罪
1300660,Berlin Alexanderplatz, 剧情
1297756,Snow White and the Seven Dwarfs, 爱情 动画 歌舞 家庭 奇幻
1299603,Reservoir Dogs, 惊悚 犯罪
1295578,Dawn of the Dead, 动作 恐怖
1298026,The Last Picture Show, 剧情
1299261,Il deserto rosso, 剧情
1303723,Stranger Than Paradise, 剧情 喜剧
1295225,West Side Story, 剧情 爱情 歌舞 犯罪
1302017,Make Way for Tomorrow, 剧情
1436764,Orph, 剧情 爱情 奇幻
1306490,A Touch of Zen, 剧情 动作 武侠 古装
1293374,Dog Day Afternoon, 剧情 喜剧 犯罪
1297991,To Kill a Mockingbird, 剧情 悬疑 犯罪
