活跃用户,日期,图片资源数量,代码行数,节假日系数
1040,2019/4/19,76,29318,1.3
2046,2019/4/20,76,29318,2
1912,2019/4/21,76,29318,1.9
1083,2019/4/22,76,29318,1
1075,2019/4/23,94,29318,1
1106,2019/4/24,134,29318,1
1229,2019/4/25,134,29318,1
1627,2019/4/26,134,29318,1.3
2440,2019/4/27,134,29318,2
1634,2019/4/28,134,29318,1
1766,2019/4/29,134,29318,1
2285,2019/4/30,134,29318,1.3
3529,2019/5/1,134,29318,2
3742,2019/5/2,134,29318,2
3831,2019/5/3,134,29318,2
3471,2019/5/4,134,29318,2
2137,2019/5/5,134,29318,1
2113,2019/5/6,134,29318,1
2117,2019/5/7,134,29318,1
2073,2019/5/8,134,29318,1
2104,2019/5/9,134,29318,1
2616,2019/5/10,134,29318,1.3
4068,2019/5/11,134,29318,2
2991,2019/5/12,134,29318,1.5
1635,2019/5/13,134,35181,0.7
1997,2019/5/14,134,35181,1
2239,2019/5/15,134,35181,1
2280,2019/5/16,136,35181,1
2900,2019/5/17,136,35181,1.3
4837,2019/5/18,136,35181,2
4476,2019/5/19,145,35181,1.9
2509,2019/5/20,145,35181,1
2462,2019/5/21,145,35181,1
2413,2019/5/22,158,35181,1
2476,2019/5/23,158,35181,1
3011,2019/5/24,173,35181,1.3
5011,2019/5/25,173,35181,2
4697,2019/5/26,173,35181,1.9
2663,2019/5/27,174,35181,1
2585,2019/5/28,174,34617,1
2651,2019/5/29,190,34617,1
2706,2019/5/30,200,34617,1
3835,2019/5/31,200,34617,1.3
5572,2019/6/1,209,34617,2
5097,2019/6/2,215,34617,1.9
2785,2019/6/3,215,34617,1
2715,2019/6/4,218,34617,1
2852,2019/6/5,218,34617,1
3636,2019/6/6,218,34617,1.3
5847,2019/6/7,219,34617,2.1
5714,2019/6/8,219,34617,2
5171,2019/6/9,219,34617,1.9
3023,2019/6/10,219,34617,1
3103,2019/6/11,219,34617,1
3050,2019/6/12,219,34617,1
3157,2019/6/13,225,34617,1
3768,2019/6/14,232,34617,1.3
5859,2019/6/15,241,34617,2
5631,2019/6/16,247,34617,1.9
3524,2019/6/17,265,34617,1.1
3500,2019/6/18,265,34617,1.1
3602,2019/6/19,265,34617,1.1
3925,2019/6/20,265,34952,1.2
4410,2019/6/21,265,34952,1.3
6669,2019/6/22,265,34952,2
6107,2019/6/23,265,34952,1.9
4155,2019/6/24,265,34952,1.3
4246,2019/6/25,265,34952,1.3
4602,2019/6/26,265,34952,1.4
